frame_id,track_id,x,y,w,h,confidence,global_id,similarity,label
71,1,444,151,190,364,0.8574,1,0.8470,Khiem
71,2,16,131,203,378,0.8361,1,0.7782,Unknown
72,1,444,151,190,363,0.8560,1,0.8470,Khiem
72,2,17,121,203,388,0.8314,1,0.7782,Unknown
73,1,443,152,190,363,0.8559,1,0.8470,Khiem
73,2,17,112,204,401,0.8309,1,0.7782,Unknown
74,1,443,151,190,363,0.8559,1,0.8470,Khiem
74,2,19,104,202,408,0.8178,1,0.7782,Unknown
75,1,443,152,190,363,0.8574,1,0.8470,Khiem
75,2,21,101,201,417,0.8144,1,0.7782,Unknown
76,1,443,152,190,363,0.8574,1,0.8470,Khiem
76,2,21,93,201,428,0.8080,1,0.7782,Unknown
77,1,444,152,189,362,0.8556,1,0.8470,Khiem
77,2,23,90,196,430,0.8050,1,0.7782,Unknown
78,1,444,152,189,361,0.8550,1,0.8470,Khiem
78,2,27,90,190,430,0.8085,1,0.7782,Unknown
79,1,444,152,188,359,0.8541,1,0.8470,Khiem
79,2,29,81,188,439,0.8096,1,0.7782,Unknown
80,1,444,153,188,357,0.8549,1,0.8470,Khiem
80,2,32,76,186,446,0.8047,1,0.7782,Unknown
81,1,444,153,187,356,0.8548,1,0.8470,Khiem
81,2,35,74,182,447,0.8036,1,0.7782,Unknown
82,1,444,154,186,354,0.8558,1,0.8470,Khiem
82,2,38,70,180,451,0.7891,1,0.7782,Unknown
83,1,444,154,186,353,0.8543,1,0.8470,Khiem
83,2,43,70,177,450,0.7809,1,0.7782,Unknown
84,1,444,154,187,353,0.8554,1,0.8470,Khiem
84,2,43,68,174,453,0.7805,1,0.7782,Unknown
85,1,443,155,187,352,0.8554,1,0.8470,Khiem
85,2,47,67,171,454,0.7773,1,0.7782,Unknown
86,1,443,155,187,352,0.8544,1,0.8470,Khiem
86,2,52,67,169,455,0.7852,1,0.7782,Unknown
87,1,443,155,187,352,0.8530,1,0.8470,Khiem
87,2,63,70,168,450,0.7839,1,0.7782,Unknown
88,1,443,155,187,351,0.8530,1,0.8470,Khiem
88,2,65,72,165,444,0.7674,1,0.7782,Unknown
89,1,443,155,187,351,0.8554,1,0.8470,Khiem
89,2,64,72,162,441,0.7660,1,0.7782,Unknown
90,1,443,155,188,352,0.8545,1,0.8470,Khiem
90,2,64,74,160,441,0.7696,1,0.7782,Unknown
91,1,442,154,189,352,0.8545,1,0.8470,Khiem
91,2,69,73,161,442,0.7743,1,0.7782,Unknown
92,1,442,154,189,353,0.8545,1,0.8470,Khiem
92,2,68,73,160,444,0.7683,1,0.7782,Unknown
93,1,442,154,190,354,0.8530,1,0.8470,Khiem
93,2,65,74,157,442,0.7581,1,0.7782,Unknown
94,1,442,153,190,355,0.8525,1,0.8470,Khiem
94,2,64,75,154,440,0.7663,1,0.7782,Unknown
95,1,442,153,191,356,0.8520,1,0.8470,Khiem
95,2,64,77,151,437,0.7808,1,0.7782,Unknown
96,1,442,153,192,358,0.8520,1,0.8470,Khiem
96,2,63,79,147,434,0.7810,1,0.7782,Unknown
97,1,442,153,191,357,0.8511,1,0.8470,Khiem
97,2,65,80,145,431,0.7871,1,0.7782,Unknown
98,1,442,154,192,358,0.8521,1,0.8470,Khiem
98,2,68,81,144,430,0.7847,1,0.7782,Unknown
99,1,442,154,191,358,0.8526,1,0.8470,Khiem
99,2,71,82,143,428,0.7801,1,0.7782,Unknown
100,1,442,154,192,359,0.8526,1,0.8470,Khiem
100,2,70,82,142,430,0.7840,1,0.7782,Unknown
101,1,442,154,191,359,0.8526,1,0.8470,Khiem
101,2,72,82,142,429,0.7716,1,0.7782,Unknown
102,1,442,154,191,359,0.8535,1,0.8470,Khiem
102,2,70,81,142,429,0.7702,1,0.7782,Unknown
103,1,442,154,191,359,0.8530,1,0.8470,Khiem
103,2,68,81,141,430,0.7782,1,0.7782,Unknown
104,1,442,154,191,359,0.8545,1,0.8470,Khiem
104,2,69,82,141,430,0.7740,1,0.7782,Unknown
105,1,442,154,191,359,0.8540,1,0.8470,Khiem
105,2,73,81,141,428,0.7664,1,0.7782,Unknown
106,1,443,154,190,358,0.8540,1,0.8470,Khiem
106,2,76,81,143,430,0.7662,1,0.7782,Unknown
107,1,443,155,189,356,0.8540,1,0.8470,Khiem
107,2,75,81,145,432,0.7667,1,0.7782,Unknown
108,1,444,155,189,354,0.8531,1,0.8470,Khiem
108,2,75,81,146,432,0.7634,1,0.7782,Unknown
109,1,444,155,188,353,0.8526,1,0.8470,Khiem
109,2,74,82,146,431,0.7619,1,0.7782,Unknown
110,1,444,155,188,352,0.8536,1,0.8470,Khiem
110,2,73,80,147,434,0.7610,1,0.7782,Unknown
111,1,444,155,188,353,0.8546,1,0.8470,Khiem
111,2,71,80,148,434,0.7667,1,0.7782,Unknown
112,1,443,155,189,354,0.8542,1,0.8470,Khiem
112,2,67,79,147,436,0.7693,1,0.7782,Unknown
113,1,444,155,188,352,0.8541,1,0.8470,Khiem
113,2,66,78,146,438,0.7671,1,0.7782,Unknown
114,1,444,155,188,352,0.8545,1,0.8470,Khiem
114,2,64,77,146,442,0.7751,1,0.7782,Unknown
115,1,444,156,188,352,0.8559,1,0.8470,Khiem
115,2,66,77,146,443,0.7704,1,0.7782,Unknown
116,1,444,156,188,351,0.8569,1,0.8470,Khiem
116,2,65,77,145,443,0.7801,1,0.7782,Unknown
117,1,444,156,188,350,0.8559,1,0.8470,Khiem
117,2,68,77,144,441,0.7736,1,0.7782,Unknown
118,1,445,156,187,349,0.8554,1,0.8470,Khiem
118,2,70,77,145,441,0.7712,1,0.7782,Unknown
119,1,445,156,187,349,0.8545,1,0.8470,Khiem
119,2,74,77,147,443,0.7754,1,0.7782,Unknown
120,1,445,156,187,348,0.8545,1,0.8470,Khiem
120,2,76,77,150,444,0.7824,1,0.7782,Unknown
121,1,444,156,188,349,0.8545,1,0.8470,Khiem
121,2,78,77,152,443,0.7867,1,0.7782,Unknown
122,1,444,156,188,348,0.8545,1,0.8470,Khiem
122,2,78,78,153,440,0.7909,1,0.7782,Unknown
123,1,444,156,188,349,0.8541,1,0.8470,Khiem
123,2,76,78,154,441,0.8020,1,0.7782,Unknown
124,1,444,156,188,349,0.8545,1,0.8470,Khiem
124,2,76,78,156,442,0.8023,1,0.7782,Unknown
125,1,444,156,189,349,0.8541,1,0.8470,Khiem
125,2,77,78,157,441,0.8005,1,0.7782,Unknown
126,1,444,156,188,348,0.8541,1,0.8470,Khiem
126,2,75,77,158,441,0.7971,1,0.7782,Unknown
127,1,444,156,188,347,0.8536,1,0.8470,Khiem
127,2,74,77,158,438,0.7941,1,0.7782,Unknown
128,1,444,155,188,347,0.8526,1,0.8470,Khiem
128,2,72,77,158,435,0.7894,1,0.7782,Unknown
129,1,444,156,188,346,0.8521,1,0.8470,Khiem
129,2,71,79,158,434,0.7858,1,0.7782,Unknown
130,1,444,156,188,345,0.8525,1,0.8470,Khiem
130,2,70,80,157,430,0.7856,1,0.7782,Unknown
131,1,444,156,188,344,0.8526,1,0.8470,Khiem
131,2,64,81,155,427,0.7823,1,0.7782,Unknown
132,1,444,156,188,345,0.8526,1,0.8470,Khiem
132,2,65,81,155,427,0.7814,1,0.7782,Unknown
133,1,444,156,189,345,0.8512,1,0.8470,Khiem
133,2,65,82,154,426,0.7809,1,0.7782,Unknown
134,1,444,156,189,346,0.8511,1,0.8470,Khiem
134,2,65,82,154,425,0.7766,1,0.7782,Unknown
135,1,443,156,189,347,0.8535,1,0.8470,Khiem
135,2,64,82,154,425,0.7762,1,0.7782,Unknown
136,1,443,156,189,346,0.8540,1,0.8470,Khiem
136,2,67,83,154,423,0.7812,1,0.7782,Unknown
137,1,443,156,190,347,0.8530,1,0.8470,Khiem
137,2,70,83,154,422,0.7814,1,0.7782,Unknown
138,1,443,155,190,347,0.8531,1,0.8470,Khiem
138,2,72,83,156,423,0.7844,1,0.7782,Unknown
139,1,442,155,190,348,0.8531,1,0.8470,Khiem
139,2,74,83,158,427,0.7844,1,0.7782,Unknown
140,1,442,155,190,347,0.8541,1,0.8470,Khiem
140,2,71,82,159,428,0.7729,1,0.7782,Unknown
141,1,442,155,190,347,0.8550,1,0.8470,Khiem
141,2,68,82,159,428,0.7691,1,0.7782,Unknown
142,1,442,155,190,347,0.8554,1,0.8470,Khiem
142,2,68,82,158,427,0.7724,1,0.7782,Unknown
143,1,442,154,190,349,0.8564,1,0.8470,Khiem
143,2,66,81,156,426,0.7666,1,0.7782,Unknown
144,1,442,154,190,350,0.8569,1,0.8470,Khiem
144,2,63,81,155,426,0.7738,1,0.7782,Unknown
145,1,441,154,191,352,0.8574,1,0.8470,Khiem
145,2,61,80,155,431,0.7679,1,0.7782,Unknown
146,1,442,154,190,351,0.8574,1,0.8470,Khiem
146,2,63,77,156,436,0.7712,1,0.7782,Unknown
147,1,443,153,190,351,0.8564,1,0.8470,Khiem
147,2,67,75,157,442,0.7732,1,0.7782,Unknown
148,1,443,153,190,353,0.8554,1,0.8470,Khiem
148,2,67,75,156,440,0.7693,1,0.7782,Unknown
149,1,444,153,191,354,0.8561,1,0.8470,Khiem
149,2,67,73,156,441,0.7710,1,0.7782,Unknown
150,1,444,153,190,354,0.8564,1,0.8470,Khiem
150,2,67,71,157,447,0.7700,1,0.7782,Unknown
151,1,444,153,191,354,0.8550,1,0.8470,Khiem
151,2,72,70,159,451,0.7769,1,0.7782,Unknown
152,1,444,153,191,355,0.8561,1,0.8470,Khiem
152,2,75,68,161,453,0.7928,1,0.7782,Unknown
153,1,445,153,190,353,0.8570,1,0.8470,Khiem
153,2,76,68,161,452,0.7843,1,0.7782,Unknown
154,1,445,153,190,352,0.8565,1,0.8470,Khiem
154,2,78,68,161,447,0.7729,1,0.7782,Unknown
155,1,445,153,190,352,0.8555,1,0.8470,Khiem
155,2,77,66,161,445,0.7782,1,0.7782,Unknown
156,1,445,153,190,352,0.8560,1,0.8470,Khiem
156,2,78,65,161,444,0.7862,1,0.7782,Unknown
157,1,445,153,191,353,0.8565,1,0.8470,Khiem
157,2,80,65,162,442,0.8027,1,0.7782,Unknown
158,1,445,153,191,354,0.8561,1,0.8470,Khiem
158,2,79,64,164,447,0.7937,1,0.7782,Unknown
159,1,445,153,191,354,0.8556,1,0.8470,Khiem
159,2,75,61,166,454,0.7867,1,0.7782,Unknown
160,1,445,154,191,354,0.8551,1,0.8470,Khiem
160,2,71,61,166,457,0.7680,1,0.7782,Unknown
161,1,445,154,191,353,0.8561,1,0.8470,Khiem
161,2,69,63,164,456,0.7709,1,0.7782,Unknown
162,1,445,153,191,352,0.8546,1,0.8470,Khiem
162,2,66,64,164,459,0.7802,1,0.7782,Unknown
163,1,445,153,190,352,0.8551,1,0.8470,Khiem
163,2,65,69,159,452,0.7951,1,0.7782,Unknown
164,1,445,153,190,351,0.8546,1,0.8470,Khiem
164,2,66,72,157,447,0.7859,1,0.7782,Unknown
165,1,446,154,190,350,0.8531,1,0.8470,Khiem
165,2,68,76,156,446,0.7816,1,0.7782,Unknown
166,1,446,153,190,350,0.8522,1,0.8470,Khiem
166,2,69,79,155,445,0.7814,1,0.7782,Unknown
167,1,446,153,190,350,0.8527,1,0.8470,Khiem
167,2,72,82,154,440,0.7767,1,0.7782,Unknown
168,1,446,153,190,350,0.8517,1,0.8470,Khiem
168,2,72,84,153,439,0.7766,1,0.7782,Unknown
169,1,446,153,190,349,0.8522,1,0.8470,Khiem
169,2,74,86,153,435,0.7744,1,0.7782,Unknown
170,1,446,154,190,349,0.8555,1,0.8470,Khiem
170,2,78,87,152,430,0.7831,1,0.7782,Unknown
171,1,445,154,191,350,0.8582,1,0.8470,Khiem
171,2,79,88,153,428,0.7888,1,0.7782,Unknown
172,1,445,154,191,350,0.8573,1,0.8470,Khiem
172,2,80,89,153,426,0.7917,1,0.7782,Unknown
173,1,445,154,190,350,0.8563,1,0.8470,Khiem
173,2,80,90,153,424,0.7934,1,0.7782,Unknown
174,1,446,154,190,349,0.8545,1,0.8470,Khiem
174,2,80,90,154,423,0.8018,1,0.7782,Unknown
175,1,446,154,190,348,0.8540,1,0.8470,Khiem
175,2,81,91,154,422,0.7970,1,0.7782,Unknown
176,1,446,154,190,348,0.8535,1,0.8470,Khiem
176,2,81,91,154,419,0.7943,1,0.7782,Unknown
177,1,446,154,190,348,0.8550,1,0.8470,Khiem
177,2,82,93,153,412,0.7911,1,0.7782,Unknown
178,1,446,154,190,348,0.8559,1,0.8470,Khiem
178,2,82,92,153,411,0.7955,1,0.7782,Unknown
179,1,445,153,190,348,0.8564,1,0.8470,Khiem
179,2,81,92,154,412,0.7945,1,0.7782,Unknown
180,1,445,152,191,349,0.8559,1,0.8470,Khiem
180,2,79,92,155,414,0.7960,1,0.7782,Unknown
181,1,444,152,191,350,0.8573,1,0.8470,Khiem
181,2,77,90,155,414,0.8003,1,0.7782,Unknown
182,1,444,152,192,352,0.8578,1,0.8470,Khiem
182,2,76,90,155,415,0.8086,1,0.7782,Unknown
183,1,444,152,192,353,0.8564,1,0.8470,Khiem
183,2,74,89,155,418,0.8011,1,0.7782,Unknown
184,1,444,152,192,354,0.8558,1,0.8470,Khiem
184,2,73,89,155,421,0.8011,1,0.7782,Unknown
185,1,444,151,192,353,0.8550,1,0.8470,Khiem
185,2,71,86,156,426,0.7918,1,0.7782,Unknown
186,1,444,151,192,353,0.8545,1,0.8470,Khiem
186,2,69,84,157,432,0.7870,1,0.7782,Unknown
187,1,445,151,191,353,0.8550,1,0.8470,Khiem
187,2,67,82,155,434,0.7971,1,0.7782,Unknown
188,1,445,151,192,353,0.8549,1,0.8470,Khiem
188,2,66,80,154,436,0.8022,1,0.7782,Unknown
189,1,445,150,192,354,0.8534,1,0.8470,Khiem
189,2,65,78,152,437,0.7978,1,0.7782,Unknown
190,1,445,150,193,355,0.8525,1,0.8470,Khiem
190,2,64,74,151,441,0.7987,1,0.7782,Unknown
191,1,445,150,193,355,0.8529,1,0.8470,Khiem
191,2,65,72,150,442,0.7808,1,0.7782,Unknown
192,1,445,149,192,355,0.8534,1,0.8470,Khiem
192,2,66,68,150,447,0.7813,1,0.7782,Unknown
193,1,445,150,192,355,0.8543,1,0.8470,Khiem
193,2,66,68,149,450,0.7836,1,0.7782,Unknown
194,1,445,150,192,356,0.8548,1,0.8470,Khiem
194,2,67,67,147,447,0.7833,1,0.7782,Unknown
195,1,445,150,193,356,0.8573,1,0.8470,Khiem
195,2,68,68,144,440,0.7885,1,0.7782,Unknown
196,1,445,150,191,354,0.8559,1,0.8470,Khiem
196,2,70,71,141,436,0.7889,1,0.7782,Unknown
197,1,446,151,191,352,0.8540,1,0.8470,Khiem
197,2,69,72,140,435,0.7966,1,0.7782,Unknown
198,1,446,152,190,350,0.8502,1,0.8470,Khiem
198,2,69,73,139,436,0.7984,1,0.7782,Unknown
199,1,446,152,190,351,0.8507,1,0.8470,Khiem
199,2,69,74,138,436,0.7941,1,0.7782,Unknown
200,1,446,152,191,351,0.8512,1,0.8470,Khiem
200,2,70,74,137,434,0.7950,1,0.7782,Unknown
201,1,445,152,191,351,0.8522,1,0.8470,Khiem
201,2,71,75,136,433,0.7989,1,0.7782,Unknown
202,1,445,152,191,351,0.8512,1,0.8470,Khiem
202,2,72,75,135,432,0.7937,1,0.7782,Unknown
203,1,444,152,192,352,0.8506,1,0.8470,Khiem
203,2,72,76,135,433,0.7956,1,0.7782,Unknown
204,1,444,152,192,351,0.8507,1,0.8470,Khiem
204,2,72,77,134,433,0.7927,1,0.7782,Unknown
205,1,444,152,192,351,0.8507,1,0.8470,Khiem
205,2,71,77,134,435,0.7971,1,0.7782,Unknown
206,1,443,153,192,351,0.8505,1,0.8470,Khiem
206,2,71,77,133,436,0.8018,1,0.7782,Unknown
207,1,443,152,192,351,0.8492,1,0.8470,Khiem
207,2,72,77,133,436,0.8018,1,0.7782,Unknown
208,1,443,152,193,351,0.8492,1,0.8470,Khiem
208,2,73,77,132,436,0.7990,1,0.7782,Unknown
209,1,443,152,193,351,0.8487,1,0.8470,Khiem
209,2,74,79,131,434,0.7967,1,0.7782,Unknown
210,1,443,152,193,352,0.8500,1,0.8470,Khiem
210,2,75,80,130,432,0.7966,1,0.7782,Unknown
211,1,443,152,193,351,0.8497,1,0.8470,Khiem
211,2,76,80,130,430,0.7914,1,0.7782,Unknown
212,1,443,152,193,351,0.8507,1,0.8470,Khiem
212,2,76,80,130,430,0.7909,1,0.7782,Unknown
213,1,443,152,193,351,0.8487,1,0.8470,Khiem
213,2,76,81,129,428,0.7914,1,0.7782,Unknown
214,1,443,152,193,350,0.8474,1,0.8470,Khiem
214,2,77,81,129,427,0.7875,1,0.7782,Unknown
215,1,443,152,193,349,0.8475,1,0.8470,Khiem
215,2,76,81,129,426,0.7899,1,0.7782,Unknown
216,1,443,152,193,349,0.8470,1,0.8470,Khiem
216,2,76,81,129,426,0.7913,1,0.7782,Unknown
217,1,444,151,193,349,0.8464,1,0.8470,Khiem
217,2,76,81,128,426,0.7971,1,0.7782,Unknown
218,1,444,152,193,348,0.8464,1,0.8470,Khiem
218,2,75,81,128,426,0.7956,1,0.7782,Unknown
219,1,444,152,192,347,0.8459,1,0.8470,Khiem
219,2,75,81,128,427,0.7966,1,0.7782,Unknown
220,1,443,152,193,348,0.8483,1,0.8470,Khiem
220,2,75,81,128,427,0.8009,1,0.7782,Unknown
221,1,443,152,193,347,0.8492,1,0.8470,Khiem
221,2,77,82,127,425,0.7956,1,0.7782,Unknown
222,1,443,152,192,347,0.8502,1,0.8470,Khiem
222,2,76,82,126,422,0.7994,1,0.7782,Unknown
223,1,443,152,193,348,0.8497,1,0.8470,Khiem
223,2,76,83,126,421,0.7995,1,0.7782,Unknown
224,1,442,152,194,350,0.8502,1,0.8470,Khiem
224,2,77,83,124,417,0.7941,1,0.7782,Unknown
225,1,442,151,195,351,0.8493,1,0.8470,Khiem
225,2,82,83,127,421,0.7890,1,0.7782,Unknown
226,1,442,152,195,352,0.8493,1,0.8470,Khiem
226,2,84,82,129,422,0.7913,1,0.7782,Unknown
227,1,442,152,195,353,0.8498,1,0.8470,Khiem
227,2,81,83,130,421,0.7851,1,0.7782,Unknown
228,1,442,151,195,353,0.8512,1,0.8470,Khiem
228,2,77,83,129,419,0.7875,1,0.7782,Unknown
229,1,442,152,195,353,0.8517,1,0.8470,Khiem
229,2,74,83,128,419,0.7829,1,0.7782,Unknown
230,1,442,152,196,354,0.8512,1,0.8470,Khiem
230,2,73,82,129,422,0.7885,1,0.7782,Unknown
231,1,442,151,196,355,0.8507,1,0.8470,Khiem
231,2,70,81,131,427,0.7675,1,0.7782,Unknown
232,1,442,152,196,355,0.8503,1,0.8470,Khiem
232,2,72,81,132,430,0.7760,1,0.7782,Unknown
233,1,442,152,196,355,0.8489,1,0.8470,Khiem
233,2,75,80,133,429,0.7702,1,0.7782,Unknown
234,1,442,151,196,355,0.8475,1,0.8470,Khiem
234,2,78,79,134,425,0.7391,1,0.7782,Unknown
235,1,442,152,196,355,0.8489,1,0.8470,Khiem
235,2,84,81,133,411,0.7285,1,0.7782,Unknown
236,1,443,152,195,354,0.8484,1,0.8470,Khiem
236,2,76,82,136,415,0.7358,1,0.7782,Unknown
237,1,443,152,195,354,0.8484,1,0.8470,Khiem
237,2,71,83,139,420,0.7481,1,0.7782,Unknown
238,1,443,152,195,354,0.8475,1,0.8470,Khiem
238,2,65,84,139,418,0.7530,1,0.7782,Unknown
239,1,443,152,195,354,0.8470,1,0.8470,Khiem
